item_id.	72
name_identJP.	癒し手のポーション
name_identEN.	healer
item_desc1JP.	\t\t癒し手達が古来から粛々と守ってきた生薬を粉にし、水薬に混ぜたもの。いたく怪しいものであるが、効果としてはしっかりとしたもので、緊急時にはいくつか携帯しておきたいものである。\n#～飲めるのみもの、飲めないのみもの～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\tHPと状態異常を回復するポーションだ。\n#～鑑定報告書：＜液体＞カテゴリ～\n
item_desc1EN.	\t\tA potion containing a powdered natural remedy that healers have protected in secrecy since ancient times. Although it seems very dubious, its effect is quite strong, and is something you'd want to carry for emergencies.\n#~Drinkable Drinks and Deadly Draughts~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tA potion that restores HP and cures abnormal status effects.
