item_id.	76
name_identJP.	聖なる癒し手ジュアのポーション
name_identEN.	sacred healer <Jure>
item_desc1JP.	\t\t聖なる癒し手の名を持つ恐れ多き水薬。もはや何が調合されているか分からず、薬液は玉虫色の輝きを見せているが、一度口にすれば、夢であったかの如く傷が癒えると言う。\n#～飲めるのみもの、飲めないのみもの～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\tHPと状態異常を回復するポーションだ。\n#～鑑定報告書：＜液体＞カテゴリ～\n
item_desc1EN.	\t\tA potion, possessing the name of a sacred healer, that fills you with unease. It's unknown exactly what is mixed into this medicine at this point, yet it shines with a brilliant iridescent coloration and will whisk injuries away as if they were nothing but a peaceful dream.\n#~Drinkable Drinks and Deadly Draughts~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tA potion that restores HP and cures abnormal status effects.
