item_id.	180
name_identJP.	リンゴ
name_identEN.	apple
item_desc1JP.	\t\t瑞々しい赤い色をした果物。古来より知恵の源や、幸運の結晶等と言われるほど我々との歴史は深く、伴って様々な調理方法が生まれいる。しかしながら、どういう訳かリンゴからアップルパイだけは作れないのだ。\n#～移り変わりゆくティリスの食～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\t満腹度を回復することが出来る食物。調理することが出来る。\n#～鑑定報告書：＜食物＞カテゴリ～\n
item_desc1EN.	\t\tFruit with a vibrant red coloration. It went by many names throughout the ancient depths of our history, including the crystal of fortune and the source of wisdom. Various cooking methods were born alongside those names; however, we still can't make an apple pie from just the apple.\n#~The Ever Changing Diet of Tyris~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tFood that can satiate your hunger. Can be cooked.
