item_id.	183
name_identJP.	さくらんぼ
name_identEN.	cherry
item_desc1JP.	\t\t赤い宝石とも呼ばれる、小さく可愛らしい果実を携える果物。その実は甘いものから酸っぱいものまで様々だが、中でもヨウィン近郊のものは、小ぶりながら非常に甘い一級品と言われている。\n#～移り変わりゆくティリスの食～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\t満腹度を回復することが出来る食物。調理することが出来る。\n#～鑑定報告書：＜食物＞カテゴリ～\n
item_desc1EN.	\t\tSmall pretty berries, also known as red gems, that can be carried in your hand. In reality they vary between sweet and sour, however according to people on the outskirts of Yowyn, they have a first-class sweetness while they're still small.\n#~The Ever Changing Diet of Tyris~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tFood that can satiate your hunger. Can be cooked.
