item_id.	67
name_identJP.	装飾首輪
name_identEN.	decorative amulet
item_desc1JP.	\t\t首元に飾る装身具。材質形状様々なものがあるが、往々にして希少な素材で作られたものが高価である。\n#～明日から使えるあなたの為の武具集～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\t装飾が施された首輪だ。\n#～鑑定報告書：＜防具＞カテゴリ～\n
item_desc1EN.	\t\tA neck accessory. The shape and material varies quite a bit between different amulets, though the occasional one created from rare materials will fetch a high price.\n#~Equipment You Could Use Tomorrow~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tAn ornamental necklace.
