item_id.	55
name_identJP.	プラチナ硬貨
name_identEN.	platinum coin
item_desc1JP.	\t\t特殊な時に使用される白金の硬貨。貨幣として使用することは出来ないがまた逆もしかり。主な使用用途は、自分の感謝の気持ちを代わりに表す時等。この使用法は広く認知されており、かなりの枚数が流通している。\n#～世界のコイン・ティリス編～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\t綺麗に輝く特殊な硬貨だ。スキルをトレイナーに鍛えてもらう時等に用いる。\n#～鑑定報告書：＜貨幣＞カテゴリ～\n
item_desc1EN.	\t\tA platinum coin used for special occasions. It can't be used as currency, and is closer to the reverse. It is primarily used to convey feelings of gratitude. This usage is widely acknowledged, and many coins are in circulation.\n#~World of Coin - Tyris Edition~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tA special coin that shines beautifully. Given to a trainer for training skills.
