item_id.	32
name_identJP.	アイスボルトの魔法書
name_identEN.	ice bolt
item_desc1JP.	\t\t「アイスボルト」という呪文について学ぶことが出来る魔法書。暑がりなあなたに。\n#～本の為の本・魔法書編～\n
item_desc2JP.	<ランク3魔法>
item_desc3JP.	
item_desc4JP.	\t\t氷属性のボルトを唱える為に必要な本。読むことが出来る。\n#～鑑定報告書：＜書物＞カテゴリ～\n
item_desc1EN.	\t\tA magical book from which you can learn the Ice Bolt spell. For those who hate hot weather.\n#~The Book of Books - Magical Tomes Edition~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tNecessary to learn the Ice Bolt spell. The tome is cool to the touch.
