item_id.	46
name_identJP.	割れたつぼ
name_identEN.	broken vase
item_desc1JP.	\t\t割れてしまって使用することが出来なくなったつぼ。全く価値はないが、そこに幾らかの可能性を見出し、半ば挑戦的に買っていく芸術家もいるとか。\n#～私の愛する幾千ものガラクタ～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\t使い物にならない破損したつぼだ。\n#～鑑定報告書：＜廃品＞カテゴリ～\n
item_desc1EN.	\t\tA broken vase that cannot be used. Although entirely worthless, there exist some artists who see the potential and go through the trouble to buy it.\n#~The Thousands of Odds and Ends I Love~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tAn unusable broken vase.
