item_id.	132
name_identJP.	サルビアの花
name_identEN.	sage
item_desc1JP.	\t\t一本の茎から沢山の花を咲かせる鉢植え。甘い蜜を持っているとされるが、ノースティリスにおいてそれはしばしば猛毒に代わっているので、決して舐めたりしないように。\n#～ティリス園芸図鑑～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\t観賞用の鉢植えだ。\n#～鑑定報告書：＜鉢＞カテゴリ～\n
item_desc1EN.	\t\tA single stem with numerous flowers blooming from it, placed in a plant pot. It is known to have a sweet nectar, but the species in North Tyris often contain a deadly poison instead. Tasting it is by no means recommended.\n#~Tyris Illustrated Horticulture Guide~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tPotted plant for ornamental purposes.
