item_id.	92
name_identJP.	お洒落な椅子
name_identEN.	stylish chair
item_desc1JP.	\t\t誰もが一瞬心奪われるという椅子。触り心地もしっとりとしていて、まさに理想の椅子といえよう。\n#～ノースティリス大家具事典～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\t美しい加工の椅子。使用することが出来る。\n#～鑑定報告書：＜家具＞カテゴリ～\n
item_desc1EN.	\t\tA chair that steals the heart of anyone in an instant. The graceful impact it gives makes it, most certainly, the ideal chair.\n#~North Tyris Great Furniture Encyclopedia~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tA beautifully made chair. It can be used.
