item_id.	124
name_identJP.	パンの陳列棚
name_identEN.	bread display
item_desc1JP.	\t\t見易い位置に配置できるように工夫されたパン屋の為の棚。値札が大きく貼られているのでつまみ食いは止めた方がいいだろう。\n#～ノースティリス大家具事典～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\tパンを並べる棚。パンを20種類まで置くことができる。\n#～鑑定報告書：＜家具＞カテゴリ～\n
item_desc1EN.	\t\tShelving for bakeries to easily display foodstuffs. The are large price tags in the way to discourage theft.\n#~North Tyris Great Furniture Encyclopedia~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tShelving for displaying bread. Up to 20 can be placed.
