item_id.	48
name_identJP.	かがり台
name_identEN.	brazier stand
item_desc1JP.	\t\t柱の先に炎を入れておく鉄のかごを取り付けた簡素な照明。その武骨な作りはどことなく野性的な印象を与える。近年そういった効果も狙って店舗に設置している料理店もあるらしい。\n#～今日から君も冒険者・旅用マニュアル～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\t簡素な照明器具。常に周囲を明るく照らす。\n#～鑑定報告書：＜用具＞カテゴリ～\n
item_desc1EN.	\t\tAn iron basket holding a flame, at the end of a post, for simple illumination. Its rustic design gives off a somewhat wild impression. Many shops and restaurants have installed these for that effect in recent years.\n#~Today You're an Adventurer - Travel Manual~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tSimple lighting. Keeps the surroundings illuminated.
