item_id.	179
name_identJP.	山菜
name_identEN.	edible wild plant
item_desc1JP.	\t\t野に生えている野草と呼ばれる野菜の一種。その素朴な味は自然を愛する者にとって、とてつもない贅沢な味と言えるだろう。\n#～移り変わりゆくティリスの食～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\t満腹度を回復することが出来る食物。調理することが出来る。\n#～鑑定報告書：＜食物＞カテゴリ～\n
item_desc1EN.	\t\tVarious grasses that grow in the wild, typically referred to as wild vegetables. Their simple flavor can be classified as luxurious to anyone who really loves nature.\n#~The Ever Changing Diet of Tyris~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tFood that can satiate your hunger. Can be cooked.
