item_id.	49
name_identJP.	旗
name_identEN.	flag
item_desc1JP.	\t\t風を受けその身をはためかせる布。色や模様が多様であり、各町それぞれに特徴が違うので旅先の思い出として、観光客に人気の商品の一つである。\n#～子供を騙す１００のテクニック・お土産編～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\t布で作られた装飾品だ。\n#～鑑定報告書：＜用具＞カテゴリ～\n
item_desc1EN.	\t\tA cloth that flutters in the wind. As the color and pattern differs amongst various towns, it is a popular memorabilia item for tourists.\n#~100 Ways to Deceive Kids - Presents~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tA decorative item made of cloth.
