item_id.	1016
name_identJP.	特殊信号拳銃
name_identEN.	<Very pistol of Mani>
item_desc1JP.	\t\t専用の信号弾とセット。色やパターンを容易に変更して撃ち分ける機能を持つ。電波の悪い地域での作戦行動に悩む鉄騎の神に、機械の神が与えたもの。昼間でも認識できるほどの光を放ち、嵐の中でも輝いて見えるため、声が届かない位置にいる相手にも素早く指示が伝わる。ターンも消費しない。\n#～イルヴァ幻想辞典～\n
item_desc2JP.	\t\t「電波障害があっても近距離ならこれで指示が出せる。原始的な手段だがな」\n#～《機械のマニ》の言葉～\n
item_desc3JP.	\t\t「さすがはマニ様です！」\n#～《鉄騎のガルジエム》の言葉～\n
item_desc4JP.	\t\t戦術指示の時に自動で使うアイテムだ。\n#～鑑定報告書：＜器具＞カテゴリ～\n
item_desc1EN.	
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	
item_desc1EN.	
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	
