item_id.	20
name_identJP.	テレポートの魔法書
name_identEN.	teleportation
item_desc1JP.	\t\t「テレポート」という呪文について学ぶことが出来る魔法書。今すぐ旅に出たいあなたに。\n#～本の為の本・魔法書編～\n
item_desc2JP.	<ランク5魔法>
item_desc3JP.	
item_desc4JP.	\t\tテレポートを唱える為に必要な本。読むことが出来る。\n#～鑑定報告書：＜書物＞カテゴリ～\n
item_desc1EN.	\t\tA magical book from which you can learn about the Teleport spell. For those who just can't wait to go on a trip.\n~The Book of Books - Magical Tomes Edition~
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tReadable book. Contains knowledge about the spell Teleport.
item_desc1EN.	\t\tA magical book from which you can learn about the Teleport spell. For those who just can't wait to go on a trip.\n~The Book of Books - Magical Tomes Edition~
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tReadable book. Contains knowledge about the spell Teleport.
