item_id.	305
name_identJP.	棺桶
name_identEN.	coffin
item_desc1JP.	\t\t生ある者は本来用いない寝具。少なくとも雨風はしのげるので、仕方なく使用する冒険者もいるようだ。\n#～死にゆく者へ贈る書～\n
item_desc2JP.	
item_desc3JP.	\t\t「寝具にしておくには勿体ない程とっても硬くて、入っていればどの方向からも攻撃を寄せ付けません。難点は、攻撃する時にそこから出なければいけない所でしょうか」\n#～見習い騎士『アインク』の言葉～\n
item_desc4JP.	\t\t眠る為の家具（ランク４）。使用することが出来る。\n#～鑑定報告書：＜寝具＞カテゴリ～\n
item_desc1EN.	
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	It would be disrespectful of the deceased to sleep in this.
item_desc1EN.	
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	It would be disrespectful of the deceased to sleep in this.
