item_id.	118
name_identJP.	モンスター召喚の魔法書
name_identEN.	summon monsters
item_desc1JP.	\t\t「モンスター召喚」という呪文について学ぶことが出来る魔法書。動物好きなあなたに。\n#～本の為の本・魔法書編～\n
item_desc2JP.	<ランク3魔法>
item_desc3JP.	
item_desc4JP.	\t\tモンスターを召喚する呪文を唱える為に必要な本。読むことが出来る。\n#～鑑定報告書：＜書物＞カテゴリ～\n
item_desc1EN.	\t\tA magical book from which you can learn the Summon Monsters spell. For those who love animals.\n#~The Book of Books - Magical Tomes Edition~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tNecessary to learn the Summon Monsters spell. Can be read.
item_desc1EN.	\t\tA magical book from which you can learn the Summon Monsters spell. For those who love animals.\n#~The Book of Books - Magical Tomes Edition~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tNecessary to learn the Summon Monsters spell. Can be read.
