item_id.	1190
name_identJP.	陸上戦艦の権利書
name_identEN.	land battleship
item_desc1JP.	\t\t魔法で動く機関車の所有権が得られる証書。魔法のレールを展開して走るため、雪原地帯でも移動に影響を受けない。また、やや重い荷物も牽引でき、重すぎても速度が落ちにくい。ただし魔力炉を活性化させていないと走行に支障が出る弱点があり、少量でもＭＰを投入し続ける必要がある。出力の調整や整備がなかなか面倒な点もあり、エウダーナ国内でも珍品扱いである。\n#～今日から君も冒険者・旅用マニュアル～\n
item_desc2JP.	
item_desc3JP.	\t\t「俺は天才だ！俺の魔導機関が評価されないのはベルム家の陰謀だ！」\n#～自称天才魔道具技師の言葉～\n
item_desc4JP.	\t\t読むことでワールドマップでの乗り物を変える権利書だ。染めれば色も指定可能。\n#～鑑定報告書：＜証書＞カテゴリ～\n
item_desc1EN.	
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	A deed for a land battleship.
