item_id.	64
name_identJP.	《モーンブレイド》
name_identEN.	<Mournblade>
item_desc1JP.	\t\t邪を祓う為に更に強大な邪を用いる、という考えから生み出された黒の剣。これには兄弟ともいうべく剣が存在し、それぞれを両手に握れば世界ですら破壊し得る程の力を得るのだという。\n#～イルヴァ幻想辞典～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\tストームブリンガーという兄弟剣が存在するといわれる長剣だ。\n#～鑑定報告書：＜秘宝＞カテゴリ～\n
item_desc1EN.	\t\tA black sword that was created to purify evil by using a more powerful evil, or at least that was the idea behind its creation. It is said that a sword was created to be its brother, and if you were to hold both in each hand, you'd gain the power to destroy the world.\n#~Ylva Fantasy Encyclopedia~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tA long sword said to have a brother sword named Stormbringer.
item_desc1EN.	\t\tA black sword that was created to purify evil by using a more powerful evil, or at least that was the idea behind its creation. It is said that a sword was created to be its brother, and if you were to hold both in each hand, you'd gain the power to destroy the world.\n#~Irva Fantasy Encyclopedia~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tA long sword said to have a brother sword named Stormbringer.
