item_id.	468
name_identJP.	ペリドット
name_identEN.	peridot
item_desc1JP.	\t\t中心部に鮮やかな緑色をした宝石をあしらった装飾品。特徴的な卵形にカットされたそれは、夜においてもなお光り輝き、類まれなる生命力の象徴であるという人もいる。\n#～明日から使えるあなたの為の武具集～\n
item_desc2JP.	
item_desc3JP.	\t\t「まぁ、なんて可愛らしい形なのかしら。丸くて緑色でその中に仄かに赤色が入ってて、一面透明なキャンバスの様な彼にぴったりだわ。きっとこの首飾りをあの人がみたら…いやぁん！」\n#～妄想少女『リアナ』の言葉～\n
item_desc4JP.	\t\t宝石のついた首輪だ。\n#～鑑定報告書：＜防具＞カテゴリ～\n
item_desc1EN.	
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	A gem attached to a neck chain.
item_desc1EN.	
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	A gem attached to a neck chain.
