npc_ID.	936
npc_sprite.	14
npc_tint.	1
card_domain.	6
card_type.	10
card_rank.	1
card_rarity.	50
card_health.	3
card_attack.	690
effect_line.	936 effect:Do Nothing 
name_JP.	超闘機『メルガストAO-I』
desc_JP.	All Options-Implemented、すなわち全オプションを実装されたメルガスト。青いからではない。全装着した場合のバランステストと言う名目で用意されたのだが、増加装甲や本体に謎の可動部が設けられている。あまりにゴテゴテしているため、乗るのには向いてない。
name_EN.	<Melugast AO-I> the dimension driver
desc_EN.	machinegod
name_EN.	<Melugast AO-I> the dimension driver
desc_EN.	machinegod
name_EN.	<Melugast AO-I> the dimension driver
desc_EN.	machinegod
