npc_ID.	4
npc_sprite.	168
npc_tint.	3
card_domain.	0
card_type.	10
card_rank.	0
card_rarity.	70
card_health.	3
card_attack.	690
effect_line.	4 effect:Do Nothing 
name_JP.	ベスプチ
desc_JP.	普通のプチよりも赤みを帯びた体を持ち、やや力も強い。かつてはプチの雌がベスプチなのではと唱える者も居たが、全く関係なかった。赤い理由は今も不明。
name_EN.	red putit
desc_EN.	A red-colored putit that's somewhat stronger than normal putits. Some people used to claim that red putits were simply female putits, but in truth, the two have nothing to do with each other. The actual reason behind their red coloring is unknown.
