npc_ID.	1
npc_sprite.	140
npc_tint.	0
card_domain.	0
card_type.	10
card_rank.	0
card_rarity.	100
card_health.	3
card_attack.	690
effect_line.	1 effect:Do Nothing 
name_JP.	店主
desc_JP.	様々な物資を販売している町の顔。強盗対策のため、銃器の扱いに長けている。ほとんど交渉の才能がないので、店を継ぐ際には猛特訓するらしい。
name_EN.	shopkeeper
desc_EN.	A person who sells various goods and serves as the public face of the town. Adept at using firearms to prevent robbery. Since they have next to no ability to negotiate, a rigorous training period is required when they inherit a store.
