npc_ID.	2
npc_sprite.	297
npc_tint.	0
card_domain.	0
card_type.	10
card_rank.	0
card_rarity.	50
card_health.	3
card_attack.	690
effect_line.	2 effect:Do Nothing 
name_JP.	偽りの預言者『ゼーム』
desc_JP.	知識欲に駆られ地位も自由も捨てた魔術士。例えレシマスの下層ごと封印されなかったとしても、彼は自ら地下に留まり《常闇の眼》を眺め続けていたことだろう。
name_EN.	<Zeome> the false prophet
desc_EN.	A mage who forsake both status and freedom to pursue his thirst for knowledge. Even had he not been sealed within the depths of Lesimas, he would have remained there to continue viewing the Origin of Vice.
