npc_ID.	19
npc_sprite.	175
npc_tint.	0
card_domain.	0
card_type.	10
card_rank.	0
card_rarity.	100
card_health.	3
card_attack.	690
effect_line.	19 effect:Do Nothing 
name_JP.	マンドレイク
desc_JP.	土地の魔力を糧に成長した野菜に似たモンスター。多分に魔力を含んだ彼らの肉には冒険者の魔力を僅かながら刺激する効果がある。音属性の魔法でもある悲鳴に注意。
name_EN.	mandrake
desc_EN.	A monster, resembling a vegetable, that grows by feeding on magical energy within the soil. Their flesh contains a large amount of magical energy, and is capable of stimulating the magical powers of those who consume it. Be wary of its terrifying screams, which are magic with the attribute of sound.
