npc_ID.	18
npc_sprite.	3
npc_tint.	0
card_domain.	0
card_type.	10
card_rank.	0
card_rarity.	100
card_health.	3
card_attack.	690
effect_line.	18 effect:Do Nothing 
name_JP.	エレアの戦士
desc_JP.	ネフィアで暮らすエレアの民。迫害され町を追い出されたため、ネフィアの外からやってくる人物に対して恨みを抱いている。武装はネフィアで暮らすため仕方なくしているそうだ。
name_EN.	warrior of Elea
desc_EN.	An Elea who lives within ruins of Nefia. Because they were persecuted and exiled from their villages, they bear a grudge against those who enter the ruins. Their armaments are a natural consequence of having to live within the ruins.
