npc_ID.	7
npc_sprite.	37
npc_tint.	0
card_domain.	0
card_type.	10
card_rank.	0
card_rarity.	100
card_health.	3
card_attack.	690
effect_line.	7 effect:Do Nothing 
name_JP.	敗残兵
desc_JP.	負けてしまった者。その事実から目を背けるように逃げ続ける。何に負けたのかは人それぞれである。ただ、いつかは現実と戦わなければいけない日が来るのだろう。
name_EN.	fallen soldier
desc_EN.	A person who has lost to something, and continues to run in order to escape from that fact. The circumstances are unique to each individual, but sooner or later, the time will come when they must face reality.
